Event       N.clusters       Cluster #       Edepionization     E/cluster      x-pos       y-pos       z-pos
0            26               0               0.000723615          2.78313e-05        -0.000       0.000       3.844
0            26               1               0.000724          0.000028        -0.000       0.000       4.338
0            26               2               0.000724          0.000028        -0.000       0.000       5.796
0            26               3               0.000724          0.000028        -0.000       0.000       5.482
0            26               4               0.000724          0.000028        -0.000       0.000       5.162
0            26               5               0.000724          0.000028        -0.000       0.000       5.401
0            26               6               0.000724          0.000028        -0.000       0.000       3.563
0            26               7               0.000724          0.000028        -0.000       0.000       5.254
0            26               8               0.000724          0.000028        -0.000       0.000       3.936
0            26               9               0.000724          0.000028        -0.000       0.000       4.905
0            26               10               0.000724          0.000028        -0.000       0.000       5.788
0            26               11               0.000724          0.000028        -0.000       0.000       4.215
0            26               12               0.000724          0.000028        -0.000       0.000       5.747
0            26               13               0.000724          0.000028        -0.000       0.000       3.649
0            26               14               0.000724          0.000028        -0.000       0.000       5.955
0            26               15               0.000724          0.000028        -0.000       0.000       5.248
0            26               16               0.000724          0.000028        -0.000       0.000       3.773
0            26               17               0.000724          0.000028        -0.000       0.000       6.323
0            26               18               0.000724          0.000028        -0.000       0.000       3.898
0            26               19               0.000724          0.000028        -0.000       0.000       6.156
0            26               20               0.000724          0.000028        -0.000       0.000       5.904
0            26               21               0.000724          0.000028        -0.000       0.000       4.168
0            26               22               0.000724          0.000028        -0.000       0.000       3.898
0            26               23               0.000724          0.000028        -0.000       0.000       6.113
0            26               24               0.000724          0.000028        -0.000       0.000       4.445
0            26               25               0.000724          0.000028        -0.000       0.000       3.435
1            35               0               0.001051          0.000030        -0.161       -0.466       6.205
1            35               1               0.001051          0.000030        -0.158       -0.461       6.213
1            35               2               0.001051          0.000030        -0.160       -0.465       6.207
1            35               3               0.001051          0.000030        -0.159       -0.463       6.210
1            35               4               0.001051          0.000030        -0.160       -0.465       6.206
1            35               5               0.001051          0.000030        -0.158       -0.460       6.214
1            35               6               0.001051          0.000030        -0.158       -0.461       6.213
1            35               7               0.001051          0.000030        -0.157       -0.459       6.218
1            35               8               0.001051          0.000030        -0.157       -0.459       6.217
1            35               9               0.001051          0.000030        -0.160       -0.464       6.207
1            35               10               0.001051          0.000030        -0.159       -0.462       6.211
1            35               11               0.001051          0.000030        -0.157       -0.459       6.217
1            35               12               0.001051          0.000030        -0.159       -0.462       6.211
1            35               13               0.001051          0.000030        -0.159       -0.463       6.210
1            35               14               0.001051          0.000030        -0.160       -0.465       6.206
1            35               15               0.001051          0.000030        -0.161       -0.466       6.205
1            35               16               0.001051          0.000030        -0.159       -0.463       6.210
1            35               17               0.001051          0.000030        -0.160       -0.464       6.208
1            35               18               0.001051          0.000030        -0.157       -0.458       6.218
1            35               19               0.001051          0.000030        -0.158       -0.462       6.212
1            35               20               0.001051          0.000030        -0.157       -0.459       6.216
1            35               21               0.001051          0.000030        -0.159       -0.463       6.210
1            35               22               0.001051          0.000030        -0.158       -0.460       6.214
1            35               23               0.001051          0.000030        -0.157       -0.458       6.218
1            35               24               0.001051          0.000030        -0.158       -0.462       6.212
1            35               25               0.001051          0.000030        -0.159       -0.463       6.210
1            35               26               0.001051          0.000030        -0.159       -0.462       6.211
1            35               27               0.001051          0.000030        -0.159       -0.462       6.211
1            35               28               0.001051          0.000030        -0.160       -0.465       6.206
